"","Scenario","Region","BEC","AREA","MIN","MAX","MEAN","MEDIAN"
"229","RCP8.5","Columbia","IMAun",2e+05,0.003,0.004,0.004,0.004
"230","RCP8.5","Columbia","MSdk",8e+08,0.02,0.02,0.02,0.02
"231","RCP8.5","Columbia","ESSFdkw",1e+08,0.007,0.007,0.007,0.007
"232","RCP8.5","Columbia","MSdw",3e+07,0.02,0.02,0.02,0.02
"233","RCP8.5","Columbia","ESSFdk1",5e+06,0.01,0.01,0.01,0.01
"234","RCP8.5","Columbia","IDFdm2",6e+07,0.06,0.06,0.06,0.06
"235","RCP8.5","Columbia","ICHmk5",2e+08,0.02,0.02,0.02,0.02
"236","RCP8.5","Columbia","ESSFmmw",3e+06,0.003,0.003,0.003,0.003
"237","RCP8.5","Columbia","ESSFdkp",2e+07,0.005,0.006,0.006,0.006
"238","RCP8.5","Columbia","ESSFdk2",4e+08,0.009,0.009,0.009,0.009
"239","RCP8.5","Columbia","ESSFmm3",6e+06,0.004,0.004,0.004,0.004
"240","RCP8.5","Columbia","IDFxk",2e+08,0.05,0.06,0.05,0.05
"241","RCP8.5","Columbia","IDFdk5",5e+08,0.04,0.04,0.04,0.04
"242","RCP8.5","Columbia","ICHmw1",1e+07,0.02,0.02,0.02,0.02
"243","RCP8.5","Columbia","ESSFmmp",3e+06,0.002,0.002,0.002,0.002
